,title,location,ppp_number,price
0,DIJUAL RUMAH WONOREJO SELATAN  SURABAYA ...,Wonorejo Selatan  Surabaya Timur.,PPP Number : OXMMJ-00004105,"IDR 1,250,000,000"
1,DIJUAL PERUM. GREENLAKE  SURABAYA.,Perum. Greenlake  Surabaya.,PPP Number : OXMMJ-00004104,"IDR 800,000,000"
2,PROPERTY RUMAH SECOND MULYOSARI SATU MIN...,Mulyosari satu,PPP Number : OXMTP-00009795,"IDR 1,400,000,000"
3,DIJUAL RUMAH WONOREJO RUNGKUT,"Wonorejo, Rungkut, Surabaya.",PPP Number : OXMMJ-00004103,"IDR 850,000,000"
4,RUMAH MULYOSARI SATU SECOND MINIMALIS BA...,Mulyosari satu,PPP Number : OXMTP-00009794,"IDR 1,400,000,000"
5,RUMAH SECOND MINIMALIS MULYOSARI SATU SI...,Mulyosari satu,PPP Number : OXMTP-00009785,"IDR 1,400,000,000"
6,JUAL CEPAT RUMAH PINUS ASRI,Lidah Harapan,PPP Number : OXMHR-00000969,"IDR 1,500,000,000"
7,DIJUAL RUMAH BABATAN PANTAI  HITUNG TANA...,Babatan pantai,PPP Number : OXMMJ-00004091,"IDR 1,200,000,000"
8,RUMAH MURAH TENGAH KOTA,Bendul Merisi Selatan,PPP Number : OXMDI-00002137,"IDR 1,300,000,000"
9,DIJUAL RUMAH BARU GRESS REGENCY ONE BABA...,Babatan Pantai,PPP Number : OXMTP-00009732,"IDR 800,000,000"
10,DIJUAL RUMAH BARU GRESS REGENCY ONE BABA...,Babatan Pantai,PPP Number : OXMTP-00009731,"IDR 1,250,000,000"
11,DIJUAL RUMAH MURAH NIRWANA EKSEKUTIF SUR...,nirwana eksekutif,PPP Number : OXMBL-00001851,"IDR 1,200,000,000"
12,DIJUAL RUMAH BABATAN PILANG,babatan pilang selatan,PPP Number : OXMDP-00000925,"IDR 1,300,000,000"
13,RUMAH KARANG PILANG SELATAN,karang PILANG wiyung,PPP Number : OXMDP-00000924,"IDR 1,300,000,000"
14,DI JUAL RUMAH CITRA PERMATA REGENCY KAND...,Citra permata regency kandangan benowo surabaya,PPP Number : OXMBL-00001847,"IDR 1,500,000,000"
15,DI JUAL RUMAH JETISBBARU GANG LEBAR SURA...,Jetis baru gang Lebar surabaya,PPP Number : OXMBL-00001842,"IDR 1,500,000,000"
16,DI JUAL RUMAH MANYAR ADI SURABAYA,Manyar adi surabaya,PPP Number : OXMBL-00001840,"IDR 1,125,000,000"
17,DI JUAL RUMAH RAYA MEDAYU UTARA SURABAYA,Medayu utara surabaya,PPP Number : OXMBL-00001831,"IDR 850,000,000"
18,DIJUAL  RUMAH,darmo indah selatan,PPP Number : OXMDP-00000916,"IDR 1,000,000,000"
19,JALAN KANSER PLOSO SURABAYA,JALAN KANSER PLOSO SURABAYA,PPP Number : OXMDP-00000915,"IDR 1,100,000,000"
20,"CITRA SENTOSA, WIYUNG SURABAYA",CITRA SENTOSA WIYUNG SURABAYA,PPP Number : OXMDP-00000914,"IDR 990,000,000"
21,JUAL RUMAH LOKASI : SETRO BARU,Setro Baru,PPP Number : OXMTP-00009688,"IDR 550,000,000"
22,DIJUAL RUMAH BARU 2 UNIT MEDOKAN SAWAH R...,MEDOKAN SAWAH,PPP Number : OXMTG-00002840,"IDR 1,055,000,000"
23,DIJUAL RUMAH PURI GUNUNG ANYAR REGENCY G...,PURI GUNUNG ANYAR REGENCY,PPP Number : OXMTG-00002839,"IDR 675,000,000"
24,DIJUAL RUMAH DI PERUMAHAN WISATA SEMANGG...,WISATA SEMANGGI,PPP Number : OXMTG-00002834,"IDR 1,300,000,000"
25,DIJUAL RUMAH PESONA ALAM GUNUNG ANYAR SU...,PESONA ALAM GUNUNG ANYAR,PPP Number : OXMTG-00002833,"IDR 850,000,000"
26,RUMAH BARU MINIMALIS 2 LT DI PONDOK MARI...,PONDOK MARITIM SURABAYA,PPP Number : OXMHV-00000745,"IDR 1,150,000,000"
27,RUMAH BARU MINIMALIS 2 LT DI PONDOK MARI...,PONDOK MARITIM SURABAYA,PPP Number : OXMHV-00000744,"IDR 1,150,000,000"
28,"RUMAH MODERN CONTEMPORER GADING PANTAI, ...",Gading Pantai,PPP Number : OXMEC-00003773,"IDR 1,330,650,000"
29,RUMAH BARU GRESS DI MANUKAN,Manukan,PPP Number : OXMHR-00000960,"IDR 985,000,000"
30,RUMAH WIGUNA SELATAN SURABAYA MURAH (VIN...,Wiguna Selatan,PPP Number : OXMTG-00002829,"IDR 850,000,000"
31,RUMAH 2 LANTAI DI NORTHWEST HILL,Bukit Darmo,PPP Number : OXMHR-00000956,"IDR 1,100,000,000"
32,RUMAH GRIYA CITRA ASRI SURABAYA MURAH (V...,Griya Citra Asri,PPP Number : OXMTG-00002827,"IDR 600,000,000"
33,DIJUAL RUMAH SEMOLOWARU ELOK SUKOLILO SU...,SEMOLOWARU ELOK,PPP Number : OXMTG-00002817,"IDR 850,000,000"
34,DIJUAL RUMAH DI PERUMAHAN KOSAGRA MEDAYU...,MEDAYU SELATAN,PPP Number : OXMTG-00002809,"IDR 900,000,000"
35,DIJUAL RUMAH GRAHA GUNUNG ANYAR GUNUNG A...,GUNUNG ANYAR,PPP Number : OXMTG-00002807,"IDR 1,400,000,000"
36,DIJUAL RUMAH WIGUNA TENGAH GUNUNG ANYAR ...,WIGUNA TENGAH,PPP Number : OXMTG-00002806,"IDR 1,050,000,000"
